Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10
0.4950,1.4422,2.9920,0.9390,13.4857,0.1811,0.2176,0.6168,0.1291,-0.9339,-4.7322,1.5306,2.9760,-3.2608,1.3953
0.4950,1.4422,0.2137,0.9390,2.4132,-2.1736,1.5230,0.6168,0.1291,-0.9339,3.8518,-1.5306,2.9760,2.1507,-0.9966
-0.9350,1.4422,0.2137,0.9390,13.4857,4.8907,-2.3933,-1.0049,0.1291,1.2735,3.8518,3.0612,-6.3092,-3.2608,2.5912
1.9250,6.7989,2.9920,4.4267,13.4857,4.8907,-2.3933,-1.0049,-1.8851,5.6884,-9.0241,3.0612,-6.3092,-3.2608,2.5912
-0.9350,1.4422,0.2137,0.9390,-8.6593,2.5359,-1.0879,-1.0049,0.1291,1.2735,-4.7322,1.5306,-0.1190,-3.2608,0.1993
0.4950,1.4422,2.9920,0.9390,2.4132,0.1811,-1.0879,0.6168,0.1291,-0.9339,-0.4402,-0.0000,-0.1190,0.3469,-0.9966
0.4950,1.4422,0.2137,-2.5487,2.4132,2.5359,-2.3933,-0.4644,-0.5423,1.2735,-4.7322,3.0612,-3.2141,-1.4570,1.3953
0.4950,1.4422,0.2137,-2.5487,2.4132,4.8907,1.5230,-1.0049,0.1291,1.2735,-4.7322,3.0612,-3.2141,0.3469,-0.9966
0.4950,-3.9145,0.2137,-2.5487,2.4132,2.5359,0.2176,-0.4644,-0.5423,3.4810,-0.4402,1.5306,-0.1190,-1.4570,0.1993
0.4950,1.4422,0.2137,0.9390,2.4132,-2.1736,-2.3933,0.0762,0.8005,-3.1414,-0.4402,-1.5306,6.0711,0.3469,0.1993
-0.9350,-3.9145,-2.5646,-2.5487,-8.6593,-2.1736,0.2176,0.0762,0.8005,-0.9339,3.8518,-1.5306,2.9760,2.1507,-0.9966
-0.9350,1.4422,0.2137,-2.5487,-8.6593,-2.1736,1.5230,0.0762,0.8005,-0.9339,3.8518,-0.0000,2.9760,-1.4570,-0.9966
0.4950,1.4422,0.2137,0.9390,2.4132,0.1811,0.2176,-0.4644,-0.5423,1.2735,-4.7322,1.5306,-3.2141,-3.2608,0.1993
1.9250,6.7989,2.9920,4.4267,13.4857,4.8907,-2.3933,-1.0049,-1.8851,5.6884,-9.0241,3.0612,-6.3092,-3.2608,2.5912
0.4950,1.4422,0.2137,0.9390,2.4132,0.1811,0.2176,-0.4644,0.1291,1.2735,-0.4402,-0.0000,2.9760,-3.2608,0.1993
1.9250,1.4422,2.9920,-2.5487,2.4132,-4.5284,0.2176,0.6168,0.8005,1.2735,3.8518,-0.0000,-3.2141,-3.2608,-0.9966
0.4950,-3.9145,-2.5646,0.9390,2.4132,-2.1736,1.5230,1.1574,0.8005,-3.1414,3.8518,-1.5306,2.9760,2.1507,-0.9966
-0.9350,-3.9145,0.2137,0.9390,2.4132,-2.1736,1.5230,0.0762,0.8005,-0.9339,8.1437,-3.0612,2.9760,3.9546,-0.9966
0.4950,1.4422,0.2137,0.9390,2.4132,-2.1736,1.5230,0.6168,0.1291,-0.9339,3.8518,-1.5306,2.9760,2.1507,-0.9966
0.4950,1.4422,0.2137,-2.5487,2.4132,2.5359,-2.3933,-0.4644,-0.5423,1.2735,-4.7322,3.0612,-3.2141,-1.4570,1.3953
-0.9350,-3.9145,0.2137,0.9390,2.4132,0.1811,-1.0879,-0.4644,0.1291,3.4810,-0.4402,1.5306,-3.2141,-1.4570,1.3953
-0.9350,1.4422,0.2137,-2.5487,2.4132,0.1811,0.2176,0.0762,-0.5423,1.2735,-0.4402,1.5306,-0.1190,-1.4570,0.1993
-0.9350,-3.9145,0.2137,0.9390,-8.6593,-2.1736,1.5230,0.6168,0.1291,-0.9339,-0.4402,-1.5306,2.9760,0.3469,0.1993
0.4950,-3.9145,-2.5646,-2.5487,-8.6593,-2.1736,1.5230,0.6168,0.1291,-0.9339,3.8518,-3.0612,2.9760,3.9546,-2.1925
-0.9350,-9.2712,0.2137,-2.5487,-8.6593,-2.1736,2.8285,1.1574,0.8005,-3.1414,8.1437,-1.5306,-0.1190,2.1507,-0.9966
0.4950,6.7989,2.9920,4.4267,13.4857,2.5359,-2.3933,-1.0049,0.8005,-3.1414,-9.0241,3.0612,-0.1190,-3.2608,0.1993
1.9250,6.7989,2.9920,4.4267,13.4857,-2.1736,-1.0879,0.0762,0.8005,-0.9339,-9.0241,1.5306,-6.3092,-3.2608,2.5912
-2.3650,-9.2712,-5.3429,-6.0364,-19.7317,2.5359,-1.0879,-0.4644,-1.2137,3.4810,-4.7322,-0.0000,-0.1190,0.3469,-0.9966
-0.9350,-3.9145,-2.5646,0.9390,-8.6593,2.5359,-1.0879,-0.4644,-0.5423,1.2735,-4.7322,1.5306,-3.2141,-1.4570,0.1993
1.9250,6.7989,2.9920,4.4267,13.4857,-4.5284,2.8285,1.1574,0.8005,-3.1414,8.1437,-3.0612,6.0711,3.9546,-2.1925
-0.9350,1.4422,0.2137,0.9390,-8.6593,-2.1736,-2.3933,0.0762,0.8005,-3.1414,-0.4402,-0.0000,-0.1190,0.3469,-0.9966
0.4950,1.4422,0.2137,-2.5487,2.4132,2.5359,-1.0879,-0.4644,-1.2137,3.4810,-4.7322,1.5306,-3.2141,-1.4570,1.3953
0.4950,1.4422,2.9920,0.9390,13.4857,2.5359,-1.0879,-1.0049,-1.8851,5.6884,-0.4402,-0.0000,-0.1190,-1.4570,1.3953
-3.7950,-14.6279,-8.1211,-9.5241,-30.8042,-2.1736,1.5230,0.6168,0.8005,-3.1414,8.1437,-3.0612,6.0711,3.9546,-2.1925
1.9250,1.4422,-2.5646,-2.5487,-8.6593,2.5359,-1.0879,-0.4644,0.1291,-0.9339,-0.4402,-0.0000,-0.1190,0.3469,0.1993
-0.9350,-9.2712,0.2137,-2.5487,-8.6593,-2.1736,2.8285,1.1574,0.8005,-3.1414,8.1437,-1.5306,-0.1190,2.1507,-0.9966
-0.9350,1.4422,0.2137,-2.5487,-8.6593,2.5359,1.5230,0.6168,0.1291,-0.9339,3.8518,-1.5306,6.0711,2.1507,-2.1925
-0.9350,-3.9145,0.2137,-2.5487,2.4132,0.1811,0.2176,-0.4644,0.1291,1.2735,-0.4402,-0.0000,-0.1190,0.3469,1.3953
-0.9350,1.4422,0.2137,0.9390,2.4132,-2.1736,0.2176,0.0762,0.1291,1.2735,3.8518,-1.5306,-0.1190,2.1507,0.1993
1.9250,6.7989,2.9920,4.4267,13.4857,-4.5284,2.8285,1.1574,0.8005,-3.1414,8.1437,-3.0612,6.0711,3.9546,-2.1925
